	log_likelihood
1813	380.83008
1814	247.81035
1815	348.30005
1816	377.32776
1817	362.7832
1818	362.23676
1819	317.47424
1820	379.8253
1821	365.8634
1822	386.6909
1823	396.05063
1824	375.00293
1825	350.4633
1826	372.62323
1827	310.44507
1828	360.71506
1829	359.97586
1830	229.9739
1831	362.2647
1832	52.337494
1833	351.30624
1834	321.95477
1835	363.0349
1836	326.4595
1837	319.39438
1838	381.65527
1839	345.17877
1840	329.336
1841	349.5103
1842	385.2437
1843	316.54388
1844	344.38202
1845	332.5542
1846	375.8576
1847	184.30226
1848	258.20978
1849	306.0076
1850	368.21616
1851	304.37668
1852	190.8261
1853	340.659
1854	365.53107
1855	333.78082
1856	291.21838
1857	357.25644
1858	338.53076
1859	111.56675
1860	325.13617
1861	126.04441
1862	345.3913
1863	361.91302
1864	354.4204
1865	382.0818
1866	334.7327
1867	183.6459
1868	352.55908
1869	313.97745
1870	343.26126
1871	367.61896
1872	221.31258
